排名,股名,股號,股價
1,大同,2371.TW,64.30
2,元大台灣50反1,00632R.TW,3.94
3,復華台灣科技優息,00929.TW,20.43
4,元大台灣價值高息,00940.TW,9.63
5,華新,1605.TW,40.35
6,大亞,1609.TW,58.90
7,鴻海,2317.TW,146.50
8,元大高股息,0056.TW,38.94
9,緯創,3231.TW,114.50
10,中興電,1513.TW,209.50
11,富邦恒生國企正2,00665L.TW,5.49
12,群益台灣精選高息,00919.TW,24.80
13,復華富時不動產,00712.TW,9.21
14,東元,1504.TW,61.10
15,群創,3481.TW,13.65
16,燿華,2367.TW,28.15
17,三商壽,2867.TW,6.03
18,元大滬深300正2,00637L.TW,13.44
19,聯電,2303.TW,50.30
20,和成,1810.TW,21.75
21,長榮航,2618.TW,31.00
22,國泰永續高股息,00878.TW,22.15
23,宏碁,2353.TW,45.05
24,元大美債20正2,00680L.TW,7.92
25,廣達,2382.TW,254.50
26,中信金,2891.TW,31.50
27,統一台灣高息動能,00939.TW,14.43
28,華榮,1608.TW,40.45
29,矽統,2363.TW,68.90
30,力積電,6770.TW,23.65
31,華泰,2329.TW,70.10
32,台積電,2330.TW,804.00
33,開發金,2883.TW,13.35
34,中工,2515.TW,15.30
35,復華香港正2,00650L.TW,8.29
36,第一銅,2009.TW,51.80
37,友達,2409.TW,17.55
38,國建,2501.TW,29.70
39,玉山金,2884.TW,26.50
40,盛達,3027.TW,48.55
41,南港,2101.TW,46.15
42,晟銘電,3013.TW,72.40
43,英業達,2356.TW,54.10
44,凌陽,2401.TW,28.90
45,華邦電,2344.TW,26.05
46,中信上游半導體,00941.TW,15.10
47,中鋼,2002.TW,24.45
48,合機,1618.TW,53.10
49,新光金,2888.TW,8.12
50,華南金,2880.TW,22.45
51,光寶科,2301.TW,96.30
52,永豐金,2890.TW,21.55
53,長榮,2603.TW,170.50
54,一詮,2486.TW,70.10
55,中信中國50正2,00753L.TW,6.57
56,台汽電,8926.TW,49.15
57,台泥,1101.TW,32.65
58,兆豐金,2886.TW,39.00
59,宏泰,1612.TW,40.60
60,國產,2504.TW,45.85
61,元大金,2885.TW,30.00
62,國泰20年美債正2,00688L.TW,7.88
63,佳能,2374.TW,42.25
64,士電,1503.TW,337.50
65,聯茂,6213.TW,111.00
66,弘憶股,3312.TW,49.20
67,國泰金,2882.TW,47.90
68,臺企銀,2834.TW,16.00
69,聯上發,2537.TW,14.85
70,南亞科,2408.TW,64.50
71,奇鋐,3017.TW,638.00
72,亞航,2630.TW,44.55
73,欣興,3037.TW,179.00
74,富邦金,2881.TW,66.00
75,漢翔,2634.TW,55.80
76,華航,2610.TW,19.25
77,群益半導體收益,00927.TW,19.30
78,仁寶,2324.TW,35.60
79,FT臺灣Smart,00905.TW,12.57
80,文曄,3036.TW,162.00
81,康舒,6282.TW,40.75
82,彰銀,2801.TW,17.80
83,辛耘,3583.TW,363.00
84,佳龍,9955.TW,38.60
85,中華電,2412.TW,123.50
86,淳安,6283.TW,34.20
87,榮星,1617.TW,24.80
88,期元大S&P原油反1,00673R.TW,7.05
89,威盛,2388.TW,141.00
90,國泰臺灣加權反1,00664R.TW,4.47
91,陽明,2609.TW,43.95
92,台新金,2887.TW,17.55
93,期街口布蘭特正2,00715L.TW,18.51
94,國泰台灣5G+,00881.TW,20.86
95,神達,3706.TW,45.00
96,上緯投控,3708.TW,133.50
97,第一金,2892.TW,26.90
98,群益證,6005.TW,21.20
99,國票金,2889.TW,13.50
100,中石化,1314.TW,9.60
